index,critic,country,org,movie_name,movie_director,movie_year,d1,d2,d1_url,birth_place,d_countries,state,direc_birthyear,age
238,Hannah Brown,Israel,Jerusalem Post,You Can Count On Me ,Kenneth Lonergan,2000.0,Kenneth Lonergan,,/name/nm0518836/,"New York City, New York, USA", USA,New York,1962.0,57.0
239,Hannah Brown,Israel,Jerusalem Post,Yossi & Jagger ,Eytan Fox,2002.0,Eytan Fox,,/name/nm0297202/,"New York City, New York, USA", USA,New York,1964.0,55.0
240,Luke Buckmaster,Australia,The Guardian/BBC Culture,Mulholland Drive ,David Lynch,2001.0,David Lynch,,/name/nm0000186/,"Missoula, Montana, USA", USA,Montana,1946.0,73.0
241,Luke Buckmaster,Australia,The Guardian/BBC Culture,There Will Be Blood ,Paul Thomas Anderson,2007.0,Paul Thomas Anderson,,/name/nm0000759/,"Studio City, California, USA", USA,California,1970.0,49.0
242,Luke Buckmaster,Australia,The Guardian/BBC Culture,"O Brother, Where Art Thou? ",Joel and Ethan Coen,2000.0,Joel, Ethan Coen,/name/nm0001054/,"Minneapolis, Minnesota, USA", USA,Minnesota,1954.0,65.0
249,Luke Buckmaster,Australia,The Guardian/BBC Culture,Boyhood ,Richard Linklater,2014.0,Richard Linklater,,/name/nm0000500/,"Houston, Texas, USA", USA,Texas,1960.0,59.0
254,Luciano Castillo,Cuba,Cinemateca de Cuba,Elephant ,Gus Van Sant,2003.0,Gus Van Sant,,/name/nm0001814/,"Louisville, Kentucky, USA", USA,Kentucky,1952.0,67.0
259,Luciano Castillo,Cuba,Cinemateca de Cuba,Inside Out ,Pete Docter,2015.0,Pete Docter,,/name/nm0230032/,"Bloomington, Minnesota, USA", USA,Minnesota,1968.0,51.0
260,Monica Castillo,US,New York Times Watching,Inside Llewyn Davis ,Joel and Ethan Coen,2013.0,Joel, Ethan Coen,/name/nm0001054/,"Minneapolis, Minnesota, USA", USA,Minnesota,1954.0,65.0
269,Monica Castillo,US,New York Times Watching,The Royal Tenenbaums ,Wes Anderson,2001.0,Wes Anderson,,/name/nm0027572/,"Houston, Texas, USA", USA,Texas,1969.0,50.0
