d1,d2,d1_url
Hayao Miyazaki,,/name/nm0594503/
Ang Lee,,/name/nm0000487/
Paul Thomas Anderson,,/name/nm0000759/
Roman Polanski,,/name/nm0000591/
Steven Spielberg,,/name/nm0000229/
Ang Lee,,/name/nm0000487/
Clint Eastwood,,/name/nm0000142/
László Nemes,,/name/nm1841577/
David O. Russell,,/name/nm0751102/
Michael Haneke,,/name/nm0359734/
Susanne Bier,,/name/nm0081540/
Michel Gondry,,/name/nm0327273/
Richard Linklater,,/name/nm0000500/
Christopher Nolan,,/name/nm0634240/
Paul Thomas Anderson,,/name/nm0000759/
Christopher Nolan,,/name/nm0634240/
Joel, Ethan Coen,/name/nm0001054/
Andrew Stanton,,/name/nm0004056/
George Miller,,/name/nm0004306/
Quentin Tarantino,,/name/nm0000233/
Alfonso Cuarón,,/name/nm0190859/
Terrence Malick,,/name/nm0000517/
Edward Yang,,/name/nm0945981/
Lee Chang-dong,,/name/nm0496969/
Michel Gondry,,/name/nm0327273/
Michael Haneke,,/name/nm0359734/
Luca Guadagnino,,/name/nm0345174/
László Nemes,,/name/nm1841577/
Andrew Stanton,,/name/nm0004056/
Jørgen Leth, Lars von Trier,/name/nm0504654/
Larry Charles,,/name/nm0153078/
Wong Kar-wai,,/name/nm0939182/
Paweł Pawlikowski,,/name/nm0667734/
Richard Linklater,,/name/nm0000500/
László Nemes,,/name/nm1841577/
Hirokazu Koreeda,,/name/nm0466153/
Pedro Almodóvar,,/name/nm0000264/
Alejandro González Iñárritu,,/name/nm0327944/
Damián Szifrón,,/name/nm1167933/
Bouli Lanners,,/name/nm0099521/
Xavier Dolan,,/name/nm0230859/
John Akomfrah,,/name/nm0015497/
Apichatpong Weerasethakul,,/name/nm0917405/
Khalo Matabane,,/name/nm1988834/
Abderrahmane Sissako,,/name/nm0803066/
Judy Kibinge,,/name/nm1834196/
Ousmane Sembène,,/name/nm0783733/
Samba Gadjigo, Jason Silverman,/name/nm7046188/
Emad Burnat, Guy Davidi,/name/nm4796818/
Nanfu Wang,,/name/nm6811599/
"Boo Junfeng, Eric Khoo, Jack Neo, K. Rajagopal, Tan Pin Pin, Royston Tan", Kelvin Tong,
Charlie Kaufman,,/name/nm0442109/
Ang Lee,,/name/nm0000487/
Andrew Haigh,,/name/nm0354091/
Cristian Mungiu,,/name/nm0612816/
Hayao Miyazaki,,/name/nm0594503/
David France,,/name/nm0289800/
Pedro Almodóvar,,/name/nm0000264/
Robert Pulcini, Shari Springer Berman,/name/nm0700301/
Wong Kar-wai,,/name/nm0939182/
Todd Haynes,,/name/nm0001331/
Terrence Malick,,/name/nm0000517/
George Miller,,/name/nm0004306/
Spike Lee,,/name/nm0000490/
