d1,d2,d1_url,direc_birthyear,birth_place
Claude Lanzmann,,/name/nm0487351/,1925,"Bois-Colombes, Hauts-de-Seine, France"
Abbas Kiarostami,,/name/nm0452102/,1940,"Tehran, Iran"
Wes Anderson,,/name/nm0027572/,1969,"Houston, Texas, USA"
Josephine Decker,,/name/nm2528451/,,
Josh, Benny Safdie,/name/nm0005045/,1978,"Vancouver, British Columbia, Canada"
Miranda July,,/name/nm0432380/,1974,"Barre, Vermont, USA"
Leos Carax,,/name/nm0136021/,1960,"Suresnes, Seine [now Hauts-de-Seine], France"
Sara Fattahi,,/name/nm7986571/,,
Cristian Mungiu,,/name/nm0612816/,1968,"Iasi, Romania"
Wes Anderson,,/name/nm0027572/,1969,"Houston, Texas, USA"
Joel, Ethan Coen,/name/nm0001054/,1954,"Minneapolis, Minnesota, USA"
Ari Folman,,/name/nm0284369/,1962,"Haifa, Israel"
Avi Nesher,,/name/nm0626409/,1953,"Ramat Gan, Israel"
Joseph Cedar,,/name/nm0147737/,1968,"New York City, New York, USA"
Jean-Pierre, Luc Dardenne,/name/nm0077450/,,
Wong Kar-wai,,/name/nm0939182/,1956,"Shanghai, China"
Kenneth Lonergan,,/name/nm0518836/,1962,"New York City, New York, USA"
Eytan Fox,,/name/nm0297202/,1964,"New York City, New York, USA"
David Lynch,,/name/nm0000186/,1946,"Missoula, Montana, USA"
Paul Thomas Anderson,,/name/nm0000759/,1970,"Studio City, California, USA"
Joel, Ethan Coen,/name/nm0001054/,1954,"Minneapolis, Minnesota, USA"
Hayao Miyazaki,,/name/nm0594503/,1941,"Tokyo, Japan"
Alfonso Cuarón,,/name/nm0190859/,1961,"Mexico City, Distrito Federal, Mexico"
Wong Kar-wai,,/name/nm0939182/,1956,"Shanghai, China"
Jennifer Kent,,/name/nm0448768/,,
Asghar Farhadi,,/name/nm1410815/,1972,"Khomeyni Shahr, Isfahan, Iran"
Michael Haneke,,/name/nm0359734/,1942,"Munich, Bavaria, Germany"
Richard Linklater,,/name/nm0000500/,1960,"Houston, Texas, USA"
Michael Haneke,,/name/nm0359734/,1942,"Munich, Bavaria, Germany"
Wong Kar-wai,,/name/nm0939182/,1956,"Shanghai, China"
Kim Ki-duk,,/title/tt1137972/,,
Lars von Trier,,/name/nm0001885/,1956,"Copenhagen, Denmark"
Gus Van Sant,,/name/nm0001814/,1952,"Louisville, Kentucky, USA"
Aleksandr Sokurov,,/name/nm0812546/,1951,"Podorvikha, Irkutskaya oblast, RSFSR, USSR [now Russia]"
Fernando Meirelles, Kátia Lund,/name/nm0576987/,1955,"São Paulo, São Paulo, Brazil"
Jacques Audiard,,/name/nm0002191/,1952,"Paris, France"
Cristian Mungiu,,/name/nm0612816/,1968,"Iasi, Romania"
Pete Docter,,/name/nm0230032/,1968,"Bloomington, Minnesota, USA"
Joel, Ethan Coen,/name/nm0001054/,1954,"Minneapolis, Minnesota, USA"
Vincent Paronnaud, Marjane Satrapi,/name/nm1749112/,,
Andrea Arnold,,/name/nm0036349/,1961,"Dartford, Kent, England, UK"
Guillermo Del Toro,,/name/nm0868219/,1964,"Guadalajara, Jalisco, Mexico"
Wong Kar-wai,,/name/nm0939182/,1956,"Shanghai, China"
Hayao Miyazaki,,/name/nm0594503/,1941,"Tokyo, Japan"
George Miller,,/name/nm0004306/,1945,"Chinchilla, Queensland, Australia"
Joe Cornish,,/name/nm0180428/,1968,"London, England, UK"
Michel Gondry,,/name/nm0327273/,1963,"Versailles, Seine-et-Oise [now Yvelines], France"
Wes Anderson,,/name/nm0027572/,1969,"Houston, Texas, USA"
Juan José Campanella,,/name/nm0002728/,1959,"Buenos Aires, Argentina"
Richard Linklater,,/name/nm0000500/,1960,"Houston, Texas, USA"
Michel Gondry,,/name/nm0327273/,1963,"Versailles, Seine-et-Oise [now Yvelines], France"
Brad Bird, Jan Pinkava,/name/nm0083348/,1957,"Kalispell, Montana, USA"
Sarah Polley,,/name/nm0001631/,1979,"Toronto, Ontario, Canada"
Guillermo Del Toro,,/name/nm0868219/,1964,"Guadalajara, Jalisco, Mexico"
Alejandro González Iñárritu,,/name/nm0327944/,1963,"Mexico City, Distrito Federal, Mexico"
Asghar Farhadi,,/name/nm1410815/,1972,"Khomeyni Shahr, Isfahan, Iran"
Steven Spielberg,,/name/nm0000229/,1946,"Cincinnati, Ohio, USA"
Baz Luhrmann,,/name/nm0525303/,1962,"New South Wales, Australia"
David Lynch,,/name/nm0000186/,1946,"Missoula, Montana, USA"
Terrence Malick,,/name/nm0000517/,1943,"Ottawa, Illinois, USA"
Wong Kar-wai,,/name/nm0939182/,1956,"Shanghai, China"
Richard Linklater,,/name/nm0000500/,1960,"Houston, Texas, USA"
Lee Chang-dong,,/name/nm0496969/,1954,"Daegu, South Korea"
David Fincher,,/name/nm0000399/,1962,"Denver, Colorado, USA"
Christopher Nolan,,/name/nm0634240/,1970,"London, England, UK"
Jean-Pierre, Luc Dardenne,/name/nm0077450/,,
Ang Lee,,/name/nm0000487/,1954,"Pingtung, Taiwan"
Claire Denis,,/name/nm0219136/,1946,"Paris, France"
Tommy Lee Jones,,/name/nm0000169/,1946,"San Saba, Texas, USA"
Paul Thomas Anderson,,/name/nm0000759/,1970,"Studio City, California, USA"
Asghar Farhadi,,/name/nm1410815/,1972,"Khomeyni Shahr, Isfahan, Iran"
Alejandro González Iñárritu,,/name/nm0327944/,1963,"Mexico City, Distrito Federal, Mexico"
Takeshi Kitano,,/name/nm0001429/,1947,"Tokyo, Japan"
Xavier Dolan,,/name/nm0230859/,1989,"Montreal, Quebec, Canada"
Lars von Trier,,/name/nm0001885/,1956,"Copenhagen, Denmark"
Alain Gomis,,/name/nm0327120/,,
Ken Loach,,/name/nm0516360/,1936,"Nuneaton, Warwickshire, England, UK"
Newton I. Aduaka,,/name/nm0012529/,,
Joel, Ethan Coen,/name/nm0001054/,1954,"Minneapolis, Minnesota, USA"
Richard Linklater,,/name/nm0000500/,1960,"Houston, Texas, USA"
David Lynch,,/name/nm0000186/,1946,"Missoula, Montana, USA"
Cameron Crowe,,/name/nm0001081/,1957,"Palm Springs, California, USA"
Charlie Kaufman,,/name/nm0442109/,1958,"New York City, New York, USA"
Guillermo Del Toro,,/name/nm0868219/,1964,"Guadalajara, Jalisco, Mexico"
Steven Spielberg,,/name/nm0000229/,1946,"Cincinnati, Ohio, USA"
David Fincher,,/name/nm0000399/,1962,"Denver, Colorado, USA"
Terrence Malick,,/name/nm0000517/,1943,"Ottawa, Illinois, USA"
Bong Joon-ho,,/name/nm0094435/,1969,"Daegu, South Korea"
David Lynch,,/name/nm0000186/,1946,"Missoula, Montana, USA"
Apichatpong Weerasethakul,,/name/nm0917405/,1970,"Bangkok, Thailand"
Hayao Miyazaki,,/name/nm0594503/,1941,"Tokyo, Japan"
Jonathan Glazer,,/name/nm0322242/,1965,"London, England, UK"
Aleksey German,,/name/nm0314516/,1938,"Leningrad, Russian SFSR, USSR [now St. Petersburg, Russia]"
George Miller,,/name/nm0004306/,1945,"Chinchilla, Queensland, Australia"
Paul Thomas Anderson,,/name/nm0000759/,1970,"Studio City, California, USA"
Sofia Coppola,,/name/nm0001068/,1971,"New York City, New York, USA"
Larry Charles,,/name/nm0153078/,1956,"Brooklyn, New York City, New York, USA"
Roy Andersson,,/name/nm0027815/,1943,"Gothenburg, Västra Götalands län, Sweden"
George Miller,,/name/nm0004306/,1945,"Chinchilla, Queensland, Australia"
Sofia Coppola,,/name/nm0001068/,1971,"New York City, New York, USA"
Tomas Alfredson,,/name/nm0019247/,1965,"Lidingö, Stockholms län, Sweden"
Harmony Korine,,/name/nm0005101/,1973,"Bolinas, California, USA"
Alfonso Cuarón,,/name/nm0190859/,1961,"Mexico City, Distrito Federal, Mexico"
Don Hertzfeldt,,/name/nm0381116/,1976,"Fremont, California, USA"
Alex Garland,,/name/nm0307497/,1970,"London, England, UK"
Joss Whedon,,/name/nm0923736/,1964,"New York City, New York, USA"
Spike Jonze,,/name/nm0005069/,1969,"Rockville, Maryland, USA"
Quentin Tarantino,,/name/nm0000233/,1963,"Knoxville, Tennessee, USA"
Edward Yang,,/name/nm0945981/,1947,"Shanghai, China"
David Lynch,,/name/nm0000186/,1946,"Missoula, Montana, USA"
Alfonso Cuarón,,/name/nm0190859/,1961,"Mexico City, Distrito Federal, Mexico"
Kenneth Lonergan,,/name/nm0518836/,1962,"New York City, New York, USA"
Spike Jonze,,/name/nm0005069/,1969,"Rockville, Maryland, USA"
Bong Joon-ho,,/name/nm0094435/,1969,"Daegu, South Korea"
Neill Blomkamp,,/name/nm0088955/,1979,"Johannesburg, South Africa"
Fernando Meirelles, Kátia Lund,/name/nm0576987/,1955,"São Paulo, São Paulo, Brazil"
Whit Stillman,,/name/nm0001775/,1952,"Washington, District of Columbia, USA"
Nuri Bilge Ceylan,,/name/nm0149196/,1959,"Istanbul, Turkey"
Kim Ki-duk,,/title/tt1137972/,,
Edward Yang,,/name/nm0945981/,1947,"Shanghai, China"
David Lynch,,/name/nm0000186/,1946,"Missoula, Montana, USA"
Apichatpong Weerasethakul,,/name/nm0917405/,1970,"Bangkok, Thailand"
Lav Diaz,,/name/nm0225010/,1958,"Datu Paglas, Maguindanao, Mindanao, Philippines"
Kiyoshi Kurosawa,,/name/nm0475905/,1955,"Kobe, Japan"
Werner Herzog,,/name/nm0001348/,1942,"Munich, Bavaria, Germany"
Takahisa Zeze,,/name/nm0955270/,,
Lav Diaz,,/name/nm0225010/,1958,"Datu Paglas, Maguindanao, Mindanao, Philippines"
Hayao Miyazaki,,/name/nm0594503/,1941,"Tokyo, Japan"
Ang Lee,,/name/nm0000487/,1954,"Pingtung, Taiwan"
Paul Thomas Anderson,,/name/nm0000759/,1970,"Studio City, California, USA"
Roman Polanski,,/name/nm0000591/,1933,"Paris, France"
Steven Spielberg,,/name/nm0000229/,1946,"Cincinnati, Ohio, USA"
Ang Lee,,/name/nm0000487/,1954,"Pingtung, Taiwan"
Clint Eastwood,,/name/nm0000142/,1930,"San Francisco, California, USA"
László Nemes,,/name/nm1841577/,1977,"Budapest, Hungary"
David O. Russell,,/name/nm0751102/,1958,"Manhattan, New York City, New York, USA"
Michael Haneke,,/name/nm0359734/,1942,"Munich, Bavaria, Germany"
Susanne Bier,,/name/nm0081540/,1960,"Copenhagen, Denmark"
Michel Gondry,,/name/nm0327273/,1963,"Versailles, Seine-et-Oise [now Yvelines], France"
Richard Linklater,,/name/nm0000500/,1960,"Houston, Texas, USA"
Christopher Nolan,,/name/nm0634240/,1970,"London, England, UK"
Paul Thomas Anderson,,/name/nm0000759/,1970,"Studio City, California, USA"
Christopher Nolan,,/name/nm0634240/,1970,"London, England, UK"
Joel, Ethan Coen,/name/nm0001054/,1954,"Minneapolis, Minnesota, USA"
Andrew Stanton,,/name/nm0004056/,1965,"Boston, Massachusetts, USA"
George Miller,,/name/nm0004306/,1945,"Chinchilla, Queensland, Australia"
Quentin Tarantino,,/name/nm0000233/,1963,"Knoxville, Tennessee, USA"
Alfonso Cuarón,,/name/nm0190859/,1961,"Mexico City, Distrito Federal, Mexico"
Terrence Malick,,/name/nm0000517/,1943,"Ottawa, Illinois, USA"
Edward Yang,,/name/nm0945981/,1947,"Shanghai, China"
Lee Chang-dong,,/name/nm0496969/,1954,"Daegu, South Korea"
